"bias_ab","ese_ab","mbse_ab","cp_ab","bias_bc","ese_bc","mbse_bc","cp_bc","n","method"
-0.0079,0.3456,0.2778,0.876,-0.0026,0.3284,0.2794,0.883,"5","No correction"
-0.0079,0.3456,0.2875,0.889,-0.0026,0.3284,0.2892,0.897,"5","KC-correction"
-0.0079,0.3456,0.2977,0.894,-0.0026,0.3284,0.2994,0.91,"5","MD-correction"
0.0218,0.2347,0.201,0.89,0.013,0.2279,0.2007,0.903,"10","No correction"
0.0218,0.2347,0.2044,0.895,0.013,0.2279,0.2041,0.909,"10","KC-correction"
0.0218,0.2347,0.2079,0.902,0.013,0.2279,0.2076,0.911,"10","MD-correction"
0.0013,0.1817,0.1668,0.923,-0.0015,0.1948,0.1657,0.896,"15","No correction"
0.0013,0.1817,0.1687,0.925,-0.0015,0.1948,0.1676,0.901,"15","KC-correction"
0.0013,0.1817,0.1706,0.928,-0.0015,0.1948,0.1695,0.905,"15","MD-correction"
-0.0011,0.1594,0.1445,0.921,-0.0087,0.1572,0.1443,0.925,"20","No correction"
-0.0011,0.1594,0.1457,0.922,-0.0087,0.1572,0.1456,0.927,"20","KC-correction"
-0.0011,0.1594,0.1469,0.924,-0.0087,0.1572,0.1468,0.929,"20","MD-correction"
-0.0033,0.1386,0.1292,0.939,-0.0073,0.141,0.1293,0.926,"25","No correction"
-0.0033,0.1386,0.13,0.94,-0.0073,0.141,0.1302,0.926,"25","KC-correction"
-0.0033,0.1386,0.1309,0.941,-0.0073,0.141,0.131,0.929,"25","MD-correction"
0.0064,0.1007,0.0917,0.928,0.0031,0.0998,0.0917,0.928,"50","No correction"
0.0064,0.1007,0.092,0.928,0.0031,0.0998,0.092,0.928,"50","KC-correction"
0.0064,0.1007,0.0923,0.928,0.0031,0.0998,0.0923,0.93,"50","MD-correction"
