"MD1","LB1","UB1","MD2","LB2","UB2","MD3","LB3","UB3","MD4","LB4","UB4","SE1","Z1","SE2","Z2","SE3","Z3","SE4","Z4","SIG1","SIG2","SIG3","SIG4"
-3.15,-6.57,0.26,-3.11,-4.48,-1.74,-3.11,-4.65,-1.58,-3.11,-4.84,-1.39,1.74234693877551,-1.80790629575403,0.698979591836735,-4.44934306569343,0.783163265306123,-3.97107491856677,0.880102040816327,-3.53368115942029,0,1,1,1
-4.58,-9.82,0.67,-4.28,-8.08,-0.49,-4.28,-8.62,0.05,-4.28,-9.25,0.68,2.67602040816327,-1.71149666348904,1.93622448979592,-2.21048748353096,2.21173469387755,-1.93513264129181,2.53316326530612,-1.68958710976838,0,1,0,0
-4.76,-8.01,-1.51,-4.34,-7.67,-1,-4.34,-8.06,-0.62,-4.34,-8.5,-0.18,1.65816326530612,-2.87064615384615,1.7015306122449,-2.55064467766117,1.89795918367347,-2.28666666666667,2.12244897959184,-2.04480769230769,1,1,1,1
-7.84,-11.78,-3.89,-7.75,-12.4,-3.1,-7.75,-12.98,-2.52,-7.75,-13.65,-1.85,2.01275510204082,-3.89515842839037,2.37244897959184,-3.26666666666667,2.66836734693878,-2.90439770554493,3.01020408163265,-2.57457627118644,1,1,1,1
-1.42,-7.69,4.84,-0.69,-4.57,3.18,-0.69,-5.09,3.7,-0.69,-5.68,4.29,3.19642857142857,-0.444245810055866,1.97704081632653,-0.349006451612903,2.24234693877551,-0.307713310580205,2.54336734693878,-0.271293881644935,0,0,0,0
-1.61,-6.33,3.1,-0.97,-4.41,2.47,-0.97,-4.78,2.85,-0.97,-5.2,3.26,2.40561224489796,-0.669268292682927,1.75510204081633,-0.552674418604651,1.94642857142857,-0.498348623853211,2.15816326530612,-0.449456264775414,0,0,0,0
-4.68,-9.9,0.53,-4.13,-8.89,0.63,-4.13,-9.46,1.2,-4.13,-10.11,1.84,2.66071428571429,-1.75892617449664,2.42857142857143,-1.70058823529412,2.71938775510204,-1.51872420262664,3.0484693877551,-1.35477824267782,0,0,0,0
-0.19,-5.25,4.88,-0.25,-2.98,2.47,-0.25,-3.43,2.92,-0.25,-3.96,3.45,2.58418367346939,-0.0735241855873643,1.39030612244898,-0.179816513761468,1.61989795918367,-0.154330708661417,1.89030612244898,-0.13225371120108,0,0,0,0
-3.26,-8.44,1.92,-3.44,-6.08,-0.8,-3.44,-6.46,-0.42,-3.44,-6.9,0.02,2.64285714285714,-1.23351351351351,1.3469387755102,-2.55393939393939,1.54081632653061,-2.23258278145695,1.76530612244898,-1.94867052023121,0,1,1,0
-3.07,-7.32,1.17,-3.25,-6.82,0.32,-3.25,-7.28,0.77,-3.25,-7.8,1.29,2.16581632653061,-1.41747938751472,1.82142857142857,-1.7843137254902,2.05357142857143,-1.58260869565217,2.31887755102041,-1.4015401540154,0,0,0,0
