"MD1","LB1","UB1","MD2","LB2","UB2","SE1","Z1","SE2","Z2","SIG1","SIG2"
-1.85,-2.7,-1.01,-1.79,-2.65,-0.94,0.431122448979592,-4.29112426035503,0.436224489795918,-4.1033918128655,1,1
-2.07,-3.86,-0.27,-1.93,-3.06,-0.81,0.915816326530612,-2.26027855153203,0.573979591836735,-3.36248888888889,1,1
-2.26,-2.97,-1.55,-2.09,-2.77,-1.41,0.362244897959184,-6.23887323943662,0.346938775510204,-6.02411764705882,1,1
-2.38,-3.1,-1.65,-2.31,-2.99,-1.62,0.369897959183674,-6.43420689655172,0.349489795918367,-6.60963503649635,1,1
-2.58,-3.76,-1.41,-2.77,-3.72,-1.81,0.599489795918367,-4.30365957446809,0.487244897959184,-5.68502617801047,1,1
-2.64,-3.36,-1.92,-2.55,-3.36,-1.75,0.36734693877551,-7.18666666666667,0.410714285714286,-6.20869565217391,1,1
-3.11,-3.95,-2.28,-3.03,-3.8,-2.26,0.426020408163265,-7.30011976047904,0.392857142857143,-7.71272727272727,1,1
-3.49,-4.59,-2.39,-3.43,-4.47,-2.39,0.561224489795918,-6.21854545454546,0.530612244897959,-6.46423076923077,1,1
-3.76,-4.35,-3.18,-3.69,-4.34,-3.03,0.298469387755102,-12.5976068376068,0.334183673469388,-11.0418320610687,1,1
-4.05,-5.08,-3.02,-3.93,-5.04,-2.81,0.525510204081633,-7.70679611650485,0.568877551020408,-6.90834080717489,1,1
-4.58,-5.36,-3.81,-4.5,-5.68,-3.32,0.395408163265306,-11.5829677419355,0.602040816326531,-7.47457627118644,1,1
-4.67,-5.33,-4.01,-4.61,-5.31,-3.92,0.336734693877551,-13.8684848484848,0.354591836734694,-13.0008633093525,1,1
-4.91,-5.65,-4.17,-4.82,-5.51,-4.12,0.377551020408163,-13.0048648648649,0.354591836734694,-13.5930935251799,1,1
-5.6,-6.33,-4.88,-5.53,-6.24,-4.82,0.369897959183674,-15.1393103448276,0.362244897959184,-15.2659154929577,1,1
-0.21,-2.04,1.62,-0.16,-1.29,0.96,0.933673469387755,-0.224918032786885,0.573979591836735,-0.278755555555556,0,0
-0.41,-1.28,0.47,-0.29,-1.03,0.45,0.446428571428571,-0.9184,0.377551020408163,-0.768108108108108,0,0
-0.52,-1.39,0.35,-0.52,-1.24,0.21,0.443877551020408,-1.17149425287356,0.369897959183673,-1.40579310344828,0,0
-0.73,-1.98,0.53,-0.99,-2.02,0.03,0.64030612244898,-1.1400796812749,0.522959183673469,-1.89307317073171,0,0
-0.78,-1.6,0.03,-0.77,-1.59,0.05,0.415816326530612,-1.8758282208589,0.418367346938776,-1.84048780487805,0,0
-1.26,-2.21,-0.31,-1.25,-2.07,-0.43,0.48469387755102,-2.59957894736842,0.418367346938775,-2.98780487804878,1,1
-1.64,-2.8,-0.48,-1.63,-2.62,-0.64,0.591836734693878,-2.77103448275862,0.505102040816326,-3.22707070707071,1,1
-1.91,-2.59,-1.23,-1.89,-2.5,-1.29,0.346938775510204,-5.50529411764706,0.308673469387755,-6.12297520661157,1,1
-2.2,-3.28,-1.11,-2.16,-3.24,-1.07,0.553571428571429,-3.9741935483871,0.553571428571429,-3.90193548387097,1,1
-2.73,-3.63,-1.82,-2.72,-3.74,-1.69,0.461734693877551,-5.9124861878453,0.522959183673469,-5.20117073170732,1,1
-2.81,-3.49,-2.14,-2.82,-3.38,-2.25,0.344387755102041,-8.15940740740741,0.288265306122449,-9.78265486725664,1,1
-3.05,-3.86,-2.25,-3.02,-3.65,-2.39,0.410714285714286,-7.42608695652174,0.321428571428571,-9.39555555555556,1,1
-3.75,-4.55,-2.94,-3.74,-4.4,-3.08,0.410714285714286,-9.1304347826087,0.336734693877551,-11.1066666666667,1,1
-0.19,-1.99,1.6,-0.13,-1.17,0.92,0.915816326530612,-0.207465181058496,0.533163265306122,-0.243827751196172,0,0
-0.31,-2.11,1.49,-0.35,-1.4,0.69,0.918367346938775,-0.337555555555556,0.533163265306122,-0.656459330143541,0,0
-0.52,-2.52,1.48,-0.83,-2.1,0.44,1.02040816326531,-0.5096,0.647959183673469,-1.28094488188976,0,0
-0.57,-2.34,1.2,-0.61,-1.73,0.52,0.903061224489796,-0.631186440677966,0.573979591836735,-1.06275555555556,0,0
-1.05,-2.88,0.79,-1.08,-2.2,0.03,0.936224489795918,-1.12152588555858,0.568877551020408,-1.89847533632287,0,0
-1.43,-3.37,0.51,-1.47,-2.69,-0.24,0.989795918367347,-1.44474226804124,0.625,-2.352,0,1
-1.7,-3.39,0,-1.73,-2.68,-0.78,0.864795918367347,-1.96578171091445,0.48469387755102,-3.56926315789474,1,1
-1.99,-3.88,-0.09,-1.99,-3.31,-0.68,0.966836734693878,-2.05825857519789,0.670918367346939,-2.96608365019011,1,1
-2.52,-4.32,-0.72,-2.55,-3.79,-1.31,0.918367346938776,-2.744,0.63265306122449,-4.03064516129032,1,1
-2.6,-4.34,-0.86,-2.66,-3.66,-1.65,0.887755102040816,-2.92873563218391,0.512755102040816,-5.18766169154229,1,1
