"studlab","treat1","treat2","TE","seTE","n1","mean1","sd1","n2","mean2","sd2","id","Study year1","Study year2","Study name1","Study name2","t1","t2","y1","y2","sd.orig1","sd.orig2","n.orig1","n.orig2","...81","...82","Harmful (the less the score the better it is, the less pain the patients had)1","Harmful (the less the score the better it is, the less pain the patients had)2","...101","...102","Outcome: change in total symptom score in chronic prostatitis (NIH-CPSI)1","Outcome: change in total symptom score in chronic prostatitis (NIH-CPSI)2"
"1","2","1",-1.4,2.33276183477392,45,20.2,12.2,45,21.6,9.8,1,2004,NA,"Alexander [4]",NA,2,1,20.2,21.6,12.2,9.8,45,45,NA,NA,"Treatments",NA,1,4,"Placebo","α-Blockers + Antibiotics"
"1","2","3",2.2,2.73059095877193,45,20.2,12.2,42,18,13.2,1,2004,NA,"Alexander [4]",NA,2,3,20.2,18,12.2,13.2,45,42,NA,NA,"Treatments",NA,1,2,"Placebo","α-Blockers"
"1","2","4",-1.1,2.58441912665539,45,20.2,12.2,42,21.3,11.9,1,2004,NA,"Alexander [4]",NA,2,4,20.2,21.3,12.2,11.9,45,42,NA,NA,"Treatments",NA,1,3,"Placebo","Antibiotics"
"1","3","1",-3.6,2.50655014926764,42,18,13.2,45,21.6,9.8,1,NA,NA,NA,NA,3,1,18,21.6,13.2,9.8,42,45,NA,NA,NA,NA,2,4,"α-Blockers","α-Blockers + Antibiotics"
"1","3","4",-3.3,2.74230525201665,42,18,13.2,42,21.3,11.9,1,NA,NA,NA,NA,3,4,18,21.3,13.2,11.9,42,42,NA,NA,NA,NA,2,3,"α-Blockers","Antibiotics"
"1","4","1",-0.300000000000001,2.34646305934888,42,21.3,11.9,45,21.6,9.8,1,NA,NA,NA,NA,4,1,21.3,21.6,11.9,9.8,42,45,NA,NA,NA,NA,3,4,"Antibiotics","α-Blockers + Antibiotics"
"2","2","1",-1.9,1.75852916733273,138,16.7,14.9,134,18.6,14.1,2,2008,NA,"Nickel [5]",NA,2,1,16.7,18.6,14.9,14.1,138,134,NA,NA,NA,NA,5,NA,"Anti-inflammatory",NA
"3","2","1",-4.4,1.59660482203712,97,15.1,8.9,51,19.5,9.4,3,2011,NA,"Nickel [7]",NA,2,1,15.1,19.5,8.9,9.4,97,51,NA,NA,NA,NA,NA,NA,NA,NA
"4","5","1",-1.4,1.9604709010455,25,21,6.8,26,22.4,7.2,4,2011,NA,"Nickel[8]",NA,5,1,21,22.4,6.8,7.2,25,26,NA,NA,NA,NA,NA,NA,NA,NA
"5","5","1",-1.4,0.198039611883961,51,21.2,0.99,49,22.6,0.99,5,2005,NA,"Nickel[16]",NA,5,1,21.2,22.6,0.99,0.99,51,49,NA,NA,NA,NA,NA,NA,NA,NA
"6","2","1",-6.2,2.29969664329076,43,10.8,9,43,17,12.1,6,2003,NA,"Cheah [17]",NA,2,1,10.8,17,9,12.1,43,43,NA,NA,NA,NA,NA,NA,NA,NA
"7","3","1",0.600000000000001,2.09082652450067,45,19,9.5,35,18.4,9.1,7,2003,NA,"Nickel [18]",NA,3,1,19,18.4,9.5,9.1,45,35,NA,NA,NA,NA,NA,NA,NA,NA
"8","5","1",-5.8,2.49337501679129,15,13,6.58,13,18.8,6.58,8,1999,NA,"Shoskes [19]",NA,5,1,13,18.8,6.58,6.58,15,13,NA,NA,NA,NA,NA,NA,NA,NA
"9","2","1",-11.2,0.323006707876684,30,10.7,1.3,30,21.9,1.2,9,2007,NA,"Tugcu [20]",NA,2,1,10.7,21.9,1.3,1.2,30,30,NA,NA,NA,NA,NA,NA,NA,NA
"10","2","3",6.27,0.505853827936584,42,14.32,1.19,21,8.05,2.16,10,2008,NA,"Ye [ 21 ]",NA,2,3,14.32,8.05,1.19,2.16,42,21,NA,NA,NA,NA,NA,NA,NA,NA
"10","2","4",2.82,0.245904549813637,42,14.32,1.19,42,11.5,1.06,10,2008,NA,"Ye [ 21 ]",NA,2,4,14.32,11.5,1.19,1.06,42,42,NA,NA,NA,NA,NA,NA,NA,NA
"10","3","4",-3.45,0.498922648838284,21,8.05,2.16,42,11.5,1.06,10,NA,NA,NA,NA,3,4,8.05,11.5,2.16,1.06,21,42,NA,NA,NA,NA,NA,NA,NA,NA
"11","5","1",-4.2,0.612627537742142,32,16.6,2.4,32,20.8,2.5,11,2009,NA,"Zhao[22]",NA,5,1,16.6,20.8,2.4,2.5,32,32,NA,NA,NA,NA,NA,NA,NA,NA
"12","3","1",-13.9,0.76621363426484,24,17.1,2.8,24,31,2.5,12,2008,NA,"Zhou [23]",NA,3,1,17.1,31,2.8,2.5,24,24,NA,NA,NA,NA,NA,NA,NA,NA
"13","5","1",-3.5,1.50063711959483,68,11.6,8.8,68,15.1,8.7,13,2009,NA,"Wagenlehner [24]",NA,5,1,11.6,15.1,8.8,8.7,68,68,NA,NA,NA,NA,NA,NA,NA,NA
