mean_1,standarddeviation_1,nanalyzed_1,mean_2,standarddeviation_2,nanalyzed_2,studyid,armno,tt1,tt2,AltIDs,Year,MatchwithFDA,MatchwithCTgov,MatchwithPublication,md,semd,design,n,source
-8.3,3.273268354,84,-6.6,3.253726278,83,119179,2,14,7,,2016,0,1,,-1.700000048,0.505076289,14vs7,167,0
-3.9,2.6,80,-7.2,3.2,84,2185,2,15,12,1814:internal,2002,0,0,,3.299999952,0.454317898,15vs12,164,0
21.1,5.91,23,21.4818,4.1744,33,2196,2,7,2,2782:internal,1993,0,0,,-0.381799996,1.430615902,7vs2,56,0
-6.400000095,3,25,-6.5,2.089999914,42,2210,2,7,6,2916:internal,1985,0,0,,0.099999905,0.681177199,7vs6,67,0
-6.5,2.2627,128,-4.699999809,2.366431913,140,2220,2,12,7,5712:internal,2003,0,0,,-1.800000191,0.282840103,12vs7,268,0
-3,1.8,18,-6.3,2,18,2235,2,15,12,6558:internal,2001,0,0,,3.299999952,0.634209931,15vs12,36,0
20.29999924,3.394113064,18,22.70000076,4.794788837,19,2256,2,12,7,964:internal,1998,0,0,,-2.400001526,1.360147119,12vs7,37,0
-5.5,1.58,10,-1.6,1.58,10,2265,2,4,1,8450:internal,1983,0,0,,-3.900000095,0.706597507,4vs1,20,0
-8,3,26,-8.4915,3.8923,59,2292,2,7,6,725:internal,1985,0,0,,0.49149999,0.776487947,7vs6,85,0
17.5,2.200000048,9,18.20000076,2.400000095,10,2305,2,12,7,1249:internal,1996,0,0,,-0.700000763,1.055356741,12vs7,19,0
-5.599999905,3.400000095,173,-6.900000095,3.599999905,173,2311,2,9,7,1874:internal,2008,0,0,,1.300000191,0.3764759,9vs7,346,0
-4.9,4.1231,17,-6.1,3.0984,15,2357,2,15,12,260:internal,2002,0,0,,1.200000048,1.280625939,15vs12,32,0
21.60000038,3.700000048,32,23.79999924,4,32,2369,2,7,1,6489:internal,1989,0,0,,-2.199998856,0.963230252,7vs1,64,0
,,67,,,70,2373,2,7,1,8490:internal,1991,0,0,,-4.489999771,0.729591846,7vs1,137,0
